FID,OBJECTID,MAPLABELNA,LEGENDTYPE,PUBLICVIEW,LOCID,stfacid,progid,facName,LocAddress,CityName,State,locZip,countyName,FO,locSupplem,opStatus,OperatType,BasinInspe,AnimalUnit,Horses,TownshipNa,Tier,Range,rangeDir,Sectn,Latitude,Longitude,X_Coord,Y_Coord,Accuracy,colMthTxt,refPntTxt,VerifyTxt,collectBy,ColDate,locComment,Congress,StHouse,StSenate,HUC,Hyperlink,uniqueID,Swine,CattleDair,CattleBeef,Chickens,Turkeys,SheepLGoat,Other,ConsPermit,NPDESPermi,MMP,PindexMMP,NMP
13029,1467790,Scott Steffensmeier,26,1,20000406985.0,316734224,71267,Scott Steffensmeier,29004 Prier Road,Dyersville,IA,52040,Dubuque,1, ,Active,Confinement/Open Feedlot,No,1379.2,0,Dodge,88,2,W,2,42.46743,-91.04854,660429,4703522,570,ADDRESS MATCHING-STREET CENTERLINE,CENTER OF FACILITY, ,batchefd,1557273600000.0, , ,0,0,0.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=71267,13371,999,0,380,0,0,0,0,Y,N,N,Y,N
13323,1471652,Wessels Family Farms Llc Sec 33,31,1,20000417734.0,317678729,71543,Wessels Family Farms Llc Sec 33,2146 300TH Ave,Dyersville,IA,52040,Delaware,1, ,Active,Confinement,No,1400.0,0,Bremen,89,3,W,33,42.47878,-91.208,647294,4704493,0,INTERPOLATION-PHOTO, , , ,0.0, , ,0,0,0.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=71543,13654,1400,0,0,0,0,0,0,Y,N,N,Y,N
13620,1464283,Gav-n View Farms,26,1,20000396415.0,315329136,70512,Gav-n View Farms,2448 Sunny View Dr,Lansing,IA,52151,Allamakee,1, ,Active,Confinement/Open Feedlot,Yes,1343.0,0,Lafayette,98,3,W,12,43.31484,-91.14035,650802,4797458,0,INTERPOLATION-PHOTO, , , ,0.0, , ,0,0,0.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=70512,12623,0,1343,0,0,0,0,0,Y,N,N,Y,N
13667,1480357,Kcb Barn 2,7,1,20000442512.0,320613623,71710,Kcb Barn 2,320th Ave.,Ruthven,IA,51358,Clay,3, ,Active,Confinement,No,1320.0,0,Freeman,96,35,W,35,43.08965,-94.95309,341036,4772622,0,INTERPOLATION-PHOTO, , , ,0.0, , ,0,0,0.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=71710,13823,1320,0,0,0,0,0,0,Y,N,N,Y,N
13822,1482971,Tmk Farms Inc #1,7,1,20000461741.0,310716179,57917,Tmk Farms Inc #1,5623 300TH STREET,Fenton,IA,50539,Palo Alto,3, ,Active,Confinement/Open Feedlot,No,1390.0,0, ,0,0, ,0,43.19805,-94.4051,385841,4783766,20,ADDRESS MATCHING-DIGITIZED,PLANT ENTRANCE (GENERAL), ,ggeorge,1285891200000.0, ,4,7,4,71000030701.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=57917,13902,1320,0,70,0,0,0,0,N,N,Y,N,N
13869,1483307,Koenen Eric,43,1,20000462147.0,311716079,66524,Koenen Eric,3641 COOLIDGE AVE,Hawarden,IA,0,Sioux,3, ,Active,Confinement/Open Feedlot,No,1343.0,0,GARFIELD,6,0,W,22,43.1221,-96.39253,224017,4779962,20,INTERPOLATION-PHOTO,PLANT ENTRANCE (GENERAL), ,jeff.pri,1351842407000.0,moved to middle of feedlot,5,4,2,101702040805.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=66524,13925,998,0,345,0,0,0,0,Y,N,N,Y,N
13932,1465077,Tom Cook Dairy,26,1,20000399383.0,315674523,70670,Tom Cook Dairy,22203 FINLEYS LANDING RD,Sherrill,IA,52073,Dubuque,1, ,Active,Confinement/Open Feedlot,No,1340.0,0,Jefferson,90,1,E,12,42.62019,-90.79058,681195,4721005,20,INTERPOLATION-PHOTO,CENTER OF FACILITY, ,brian.je,1540364987000.0, ,1,57,29,70600030707.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=70670,12780,0,1340,0,0,0,0,0,N,N,N,Y,N
14071,1491423,Rieck Joel,26,1,20000542966.0,418430805,71877,Rieck Joel,3331 White Avenue,Hartley,IA,51346,O'Brien,3, ,Active,Confinement/Open Feedlot,No,1390.0,0,Omega,96,39,W,4,43.16664,-95.44805,301000,4782229,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0, ,5,5,3,0.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=71877,14071,440,0,950,0,0,0,0,Y,N,Y,N,N
6547,1362786,Hinkeldey Hogs LLC,31,1,20000215344.0,310737343,62770,Hinkeldey Hogs Llc,256 590th St,Alta,IA,51002,Buena Vista,3, ,Active,Confinement,No,999.9,0,Nokomis,91,38,W,32,42.66149,-95.36045,306546,4725926,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0, ,5,52,26,102300050103.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=62770,7737,999,0,0,0,0,0,0,Y,N,Y,N,N
8744,1377321,Koudelka Site,7,1,20000242672.0,311108851,66108,Koudelka Site,PEMBROKE AVE.,Lawler,IA,52154,Chickasaw,1, ,Active,Confinement,No,999.9,0,Jacksonville,97,12,W,26,43.18703,-92.23501,562164,4781869,20,INTERPOLATION-PHOTO,CENTER OF FACILITY, ,zachery.,1481706249000.0,moved to middle of building,4,52,26,70600040102.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=66108,8313,999,0,0,0,0,0,0,Y,N,N,Y,N
9829,1396507,66572,7,1,20000278058.0,311727925,66572,66572,20654 PINE AVENUE,Elma,IA,0,Howard,1, ,Active,Confinement,No,999.9,0,Paris,97,12,W,15,43.21842,-92.25843,560230,4785338,20,INTERPOLATION-PHOTO,CENTER OF FACILITY, ,zachery.,1490627992000.0,moved to middle of building,1,51,26,70600040102.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=66572,8692,999,0,0,0,0,0,0,Y,N,N,Y,N
